,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
310,Bullock County,AL,10914,33.8,20.55,3.97,8.05,1011
311,Buncombe County,NC,238318,12.46,17.27,1.47,3.24,37021
312,Bureau County,IL,34978,12.62,21.31,1.84,4.47,17011
313,Burke County,GA,23316,24.98,24.51,2.58,6.84,13033
314,Burke County,NC,90912,18.15,20.28,1.64,5.41,37023
315,Burke County,ND,1968,6.59,19.36,1.78,1.73,38013
316,Burleigh County,ND,81308,8.8,18.5,1.32,1.63,38015
317,Burleson County,TX,17187,12.35,21.81,1.72,3.43,48051
318,Burlington County,NJ,448734,6.6,18.96,1.22,1.55,34005
319,Burnet County,TX,42750,11.17,21.27,1.26,2.73,48053
320,Burnett County,WI,15457,13.57,18.22,1.24,5.15,55013
321,Burt County,NE,6858,11.66,11.58,0.7,1.79,31021
322,Butler County,AL,20947,23.09,20.94,2.59,6.6,1013
323,Butler County,IA,14867,9.38,20.43,0.99,2.62,19023
324,Butler County,KS,65880,10.64,23.68,1.34,2.2,20015
325,Butler County,KY,12690,19.35,20.94,2.13,4.97,21031
326,Butler County,MO,42794,21.93,18.99,2.4,7.48,29023
327,Butler County,NE,8395,7.43,19.09,0.57,1.68,31023
328,Butler County,OH,368130,14.34,21.77,1.5,3.23,39017
329,Butler County,PA,183862,8.51,19.88,1.91,2.68,42019
330,Butte County,CA,220000,20.63,15.87,1.79,3.28,6007
331,Butte County,ID,2891,16.15,20.24,0.76,2.01,16023
332,Butte County,SD,10110,12.29,18.12,1.15,4.22,46019
333,Butts County,GA,23655,23.95,21.26,2.2,6.18,13035
334,Cabarrus County,NC,178011,11.41,23.79,1.27,3.0,37025
335,Cabell County,WV,96319,23.78,14.34,3.54,4.81,54011
336,Cache County,UT,112656,16.04,27.11,0.59,1.7,49005
337,Caddo County,OK,29600,19.86,20.29,2.08,4.62,40015
338,Caddo Parish,LA,254969,24.08,20.27,3.63,6.26,22017
339,Calaveras County,CA,45578,12.11,16.85,0.82,3.29,6009
340,Calcasieu Parish,LA,192768,17.18,19.83,1.58,3.98,22019
341,Caldwell County,KY,12984,15.61,17.41,1.48,5.04,21033
342,Caldwell County,MO,9424,14.97,19.95,2.1,2.98,29025
343,Caldwell County,NC,83029,16.86,20.87,1.72,5.72,37027
344,Caldwell County,TX,38066,18.2,23.2,1.2,3.36,48055
345,Caldwell Parish,LA,10132,27.13,21.07,2.73,5.31,22021
346,Caledonia County,VT,31227,12.59,17.44,1.4,4.5,50005
347,Calhoun County,AL,118572,19.66,19.92,1.97,6.17,1015
348,Calhoun County,AR,5368,15.4,20.53,2.31,4.58,5013
349,Calhoun County,FL,14625,12.17,19.18,1.97,6.11,12013
350,Calhoun County,GA,6694,26.62,15.75,2.6,8.62,13037
351,Calhoun County,IA,9670,13.32,17.6,1.37,3.42,19025
352,Calhoun County,IL,5089,13.24,20.28,2.16,4.79,17013
353,Calhoun County,MI,136146,17.14,20.7,2.53,4.89,26025
354,Calhoun County,MS,14962,24.94,22.58,2.86,6.04,28013
355,Calhoun County,SC,15175,18.44,20.7,3.36,5.61,45017
356,Calhoun County,TX,21381,14.41,24.09,1.28,5.07,48057
357,Calhoun County,WV,7627,18.74,19.22,3.44,11.25,54013
358,Callahan County,TX,13544,14.08,22.61,1.03,3.22,48059
359,Callaway County,MO,44332,12.35,21.21,1.91,3.6,29027
360,Calloway County,KY,37191,25.11,15.91,1.88,3.38,21035
361,Calumet County,WI,48971,5.82,23.66,1.06,1.53,55015
362,Calvert County,MD,88737,5.11,24.68,0.91,2.28,24009
363,Camas County,ID,1117,23.25,21.49,0.36,2.78,16025
364,Cambria County,PA,143679,15.21,15.99,2.69,5.12,42021
365,Camden County,GA,50513,13.17,24.98,1.54,4.01,13039
366,Camden County,MO,44002,15.59,17.86,1.39,4.05,29029
367,Camden County,NC,9980,11.19,25.62,0.7,3.85,37029
368,Camden County,NJ,513657,12.71,15.57,2.13,2.3,34007
369,Cameron County,PA,5085,14.1,14.79,3.42,4.88,42023
370,Cameron County,TX,406220,31.26,25.56,1.39,5.27,48061
371,Cameron Parish,LA,6839,10.33,23.29,0.37,2.75,22023
372,Camp County,TX,12401,19.94,24.33,2.27,6.6,48063
373,Campbell County,KY,90336,14.32,18.63,2.18,2.32,21037
374,Campbell County,SD,1466,3.99,14.05,0.41,0.82,46021
375,Campbell County,TN,40716,19.91,18.5,2.74,7.15,47013
376,Campbell County,VA,54842,11.88,20.04,1.78,3.78,51031
377,Campbell County,WY,46133,10.91,26.1,1.26,1.57,56005
378,Canadian County,OK,115541,8.5,21.9,0.76,1.89,40017
379,Candler County,GA,10998,32.96,22.26,3.2,6.8,13043
380,Cannon County,TN,13801,16.53,20.53,1.26,6.77,47015
381,Canyon County,ID,188923,15.62,24.82,0.92,3.92,16027
382,Cape Girardeau County,MO,75674,17.71,18.91,1.89,3.15,29031
383,Cape May County,NJ,97265,10.96,15.19,2.08,2.1,34009
384,Carbon County,MT,10078,10.05,15.16,0.79,1.9,30009
385,Carbon County,PA,65249,12.62,16.45,1.48,3.77,42025
386,Carbon County,UT,21403,15.82,23.51,1.22,3.86,49007
