state,county,name,lat,lon
FL,Bay,"Bay, FL",30.237563,-85.631348
FL,Bradford,"Bradford, FL",29.946934,-82.166796
FL,Brevard,"Brevard, FL",28.298276,-80.700384
FL,Broward,"Broward, FL",26.19352,-80.476658
FL,Calhoun,"Calhoun, FL",30.388801,-85.197916
FL,Charlotte,"Charlotte, FL",26.868826,-81.940858
FL,Citrus,"Citrus, FL",28.843628,-82.524796
FL,Clay,"Clay, FL",29.987116,-81.858147
FL,Collier,"Collier, FL",26.118713,-81.400884
FL,Columbia,"Columbia, FL",30.221305,-82.623127
FL,DeSoto,"DeSoto, FL",27.190581,-81.806253
FL,Dixie,"Dixie, FL",29.580899,-83.195666
FL,Duval,"Duval, FL",30.335245,-81.648113
FL,Escambia,"Escambia, FL",30.611664,-87.33904
FL,Flagler,"Flagler, FL",29.474894,-81.286362
FL,Franklin,"Franklin, FL",29.810176,-84.799174
FL,Gadsden,"Gadsden, FL",30.57917,-84.612783
FL,Gilchrist,"Gilchrist, FL",29.723456,-82.795801
FL,Glades,"Glades, FL",26.95481,-81.19082
FL,Gulf,"Gulf, FL",29.907257,-85.256537
FL,Hamilton,"Hamilton, FL",30.491102,-82.951049
FL,Hardee,"Hardee, FL",27.492846,-81.82158
FL,Hendry,"Hendry, FL",26.53934,-81.151584
FL,Hernando,"Hernando, FL",28.567911,-82.464835
FL,Highlands,"Highlands, FL",27.342627,-81.340921
FL,Hillsborough,"Hillsborough, FL",27.90659,-82.349568
FL,Holmes,"Holmes, FL",30.866222,-85.812959
FL,Indian River,"Indian River, FL",27.700638,-80.574803
FL,Jackson,"Jackson, FL",30.787812,-85.210374
FL,Jefferson,"Jefferson, FL",30.424558,-83.890859
FL,Lafayette,"Lafayette, FL",29.990066,-83.17851
FL,Lake,"Lake, FL",28.764113,-81.712282
FL,Lee,"Lee, FL",26.552134,-81.89225
FL,Leon,"Leon, FL",30.45931,-84.2778
FL,Levy,"Levy, FL",29.284409,-82.783483
FL,Liberty,"Liberty, FL",30.259849,-84.868581
FL,Madison,"Madison, FL",30.447228,-83.470437
FL,Manatee,"Manatee, FL",27.481386,-82.365784
FL,Marion,"Marion, FL",29.202805,-82.0431
FL,Martin,"Martin, FL",27.079954,-80.398211
FL,Miami-Dade,"Miami-Dade, FL",25.610494,-80.499045
FL,Monroe,"Monroe, FL",25.601043,-81.206777
FL,Nassau,"Nassau, FL",30.605926,-81.764929
FL,Okaloosa,"Okaloosa, FL",30.665858,-86.594194
FL,Okeechobee,"Okeechobee, FL",27.385592,-80.887388
FL,Orange,"Orange, FL",28.514435,-81.323295
FL,Osceola,"Osceola, FL",28.059027,-81.139312
FL,Palm Beach,"Palm Beach, FL",26.645763,-80.448673
FL,Pasco,"Pasco, FL",28.302024,-82.455707
FL,Pinellas,"Pinellas, FL",27.903122,-82.739518
FL,Polk,"Polk, FL",27.953115,-81.692783
FL,Putnam,"Putnam, FL",29.606006,-81.740894
